"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","r_fighter_age","b_fighter","b_fighter_id","b_fighter_stance","b_fighter_age","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT2757","Blue","FALSE","Bantamweight",3,"Johnny Bedford",891,"Orthodox",31,"Cody Gibson",1187,"Orthodox",26,"2014-06-28","Kerry Hatley","r24",177.8,177.8,180.34,180.34,135,135,"record2757","FT2757",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,2,0,0,2,2,9,500.25,0,0,0,0,2,0,0,2
"FT2752","Red ","FALSE","Middleweight",3,"Cezar Ferreira",963,"Southpaw",29,"Andrew Craig",927,"Orthodox",28,"2014-06-28","Jacob Montalvo","r79",185.42,185.42,193.04,198.12,170,185,"record2752","FT2752",1,0,0,2,2,0,0,1,1,1,0,0,3,13,744.8,1,0,0,3,1,8,471.5,1,0,1,1,0,1,0,3
"FT2758","Red ","FALSE","Middleweight",3,"Marcelo Guimaraes",979,"Orthodox",31,"Andy Enz",1180,"Orthodox",22,"2014-06-28","Frank Collazo","r112",190.5,182.88,198.12,185.42,185,185,"record2758","FT2758",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,1,0,0,1,1,5,720,0,0,1,0,0,0,0,1
"FT2764","Red ","FALSE","Welterweight",3,"Robert Whittaker",1000,"Orthodox",23,"Mike Rhodes",1176,"Orthodox",24,"2014-06-28","Steve Perceval","r60",185.42,182.88,187.96,185.42,170,185,"record2764","FT2764",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,2,0,0,2,2,10,666,1,0,0,1,1,0,0,2
"FT2756","Blue","FALSE","Lightweight",3,"Colton Smith",1010,"Orthodox",26,"Diego Ferreira",1264,"Orthodox",29,"2014-06-28","Herb Dean","r18",175.26,182.88,187.96,180.34,155,155,"record2756","FT2756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,0,0,1,2,8,647.3333333,1,0,0,1,0,0,0,1
"FT2768","Red ","FALSE","Welterweight",3,"Neil Magny",1030,"Orthodox",26,"Rodrigo de Lima",1269,"Orthodox",23,"2014-06-28","John Sharp","r59",170.18,190.5,190.5,203.2,155,170,"record2768","FT2768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2,0,2,2,13,758.6,0,0,0,3,0,0,0,3
"FT2751","Red ","FALSE","Welterweight",3,"Kelvin Gastelum",1055,"Southpaw",22,"Nico Musoke",1126,"Orthodox",28,"2014-06-28","Kerry Hatley","r24",182.88,175.26,190.5,180.34,170,185,"record2751","FT2751",0,2,0,2,0,0,0,0,1,0,1,0,2,4,543.5,0,3,0,3,0,7,648.6666667,1,0,2,0,0,1,0,3
"FT2754","Red ","FALSE","Middleweight",3,"Clint Hester",1061,"Orthodox",27,"Antonio Braga Neto",1082,"Orthodox",26,"2014-06-28","Herb Dean","r18",190.5,187.96,195.58,195.58,185,205,"record2754","FT2754",0,1,0,1,0,0,0,0,0,0,1,0,1,1,112,0,3,0,3,0,8,777.6666667,0,0,0,1,1,0,1,3
"FT2770","Red ","FALSE","Light Heavyweight",3,"Gian Villante",1068,"Orthodox",28,"Sean O'Connell",1217,"Orthodox",30,"2014-06-28","Peter Hickmott","r113",185.42,190.5,187.96,193.04,205,205,"record2770","FT2770",1,0,0,0,1,0,0,0,0,0,0,0,0,1,267,1,0,0,1,2,8,638.3333333,0,0,0,0,1,0,0,1
"FT2766","Red ","FALSE","Flyweight",3,"Richie Vaculik",1149,"Orthodox",31,"Roldan Sangcha-an",1268,"Orthodox",23,"2014-06-28","John Sharp","r59",162.56,167.64,165.1,175.26,125,125,"record2766","FT2766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,1,283,0,0,0,0,0,0,0,0
