fight_id,winner,title_bout,weight_class,no_of_rounds,r_fighter,r_fighter_id,r_fighter_stance,b_fighter,b_fighter_id,b_fighter_stance,date,referee,referee_id,b_fighter_height,r_fighter_height,b_fighter_reach,r_fighter_reach,b_fighter_weight,r_fighter_weight
FT55,Red ,TRUE ,Catch Weight,2,Marco Ruas,55,Orthodox,Paul Varelans,51,Orthodox,9/8/1995,John McCarthy,r2,203.2,185.42,NULL,NULL,300,210
FT57,Red ,FALSE,Open Weight,1,Marco Ruas,55,Orthodox,Remco Pardoel,11,Southpaw,9/8/1995,John McCarthy,r2,190.5,185.42,NULL,NULL,260,210
FT59,Red ,FALSE,Open Weight,1,Marco Ruas,55,Orthodox,Larry Cureton,47,Orthodox,9/8/1995,John McCarthy,r2,187.96,185.42,NULL,NULL,240,210
FT61,Red ,FALSE,Open Weight,1,Mark Hall,56,Orthodox,Harold Howard,26,Orthodox,9/8/1995,John McCarthy,r2,187.96,182.88,NULL,NULL,240,190
FT63,Red ,FALSE,Open Weight,1,Scott Bessac,57,NULL,David Hood,60,NULL,9/8/1995,Taimak Guarriello,r4,182.88,193.04,NULL,NULL,200,245
FT64,Red ,TRUE ,Catch Weight,2,Dan Severn,33,Southpaw,Oleg Taktarov,42,Orthodox,12/16/1995,John McCarthy,r2,182.88,187.96,NULL,NULL,210,250
FT66,Red ,FALSE,Open Weight,1,Dan Severn,33,Southpaw,David Abbott,50,Switch,12/16/1995,John McCarthy,r2,182.88,187.96,NULL,NULL,265,250
FT69,Red ,FALSE,Open Weight,1,Dan Severn,33,Southpaw,Paul Varelans,51,Orthodox,12/16/1995,John McCarthy,r2,203.2,187.96,NULL,NULL,300,250
FT65,Red ,FALSE,Open Weight,1,Oleg Taktarov,42,Orthodox,Marco Ruas,55,Orthodox,12/16/1995,John McCarthy,r2,185.42,182.88,NULL,NULL,210,210
FT67,Red ,FALSE,Open Weight,1,Oleg Taktarov,42,Orthodox,Dave Beneteau,41,Orthodox,12/16/1995,John McCarthy,r2,187.96,182.88,NULL,NULL,250,210
FT70,Red ,FALSE,Open Weight,1,David Abbott,50,Switch,Steve Jennum,25,Orthodox,12/16/1995,John McCarthy,r2,177.8,182.88,NULL,NULL,215,265
FT68,Red ,FALSE,Open Weight,1,Marco Ruas,55,Orthodox,Keith Hackney,27,Sideways,12/16/1995,John McCarthy,r2,180.34,185.42,NULL,NULL,200,210
FT72,Red ,FALSE,Catch Weight,3,Ken Shamrock,4,Orthodox,Kimo Leopoldo,29,Orthodox,2/16/1996,John McCarthy,r2,190.5,185.42,NULL,182.88,235,205
FT77,Red ,FALSE,Open Weight,1,Paul Varelans,51,Orthodox,Joe Moreira,67,Southpaw,2/16/1996,John McCarthy,r2,180.34,203.2,NULL,NULL,195,300
FT71,Red ,TRUE ,Catch Weight,3,Don Frye,61,Orthodox,Gary Goodridge,62,Orthodox,2/16/1996,John McCarthy,r2,190.5,185.42,NULL,NULL,249,219
FT74,Red ,FALSE,Open Weight,1,Don Frye,61,Orthodox,Sam Adkins,64,Orthodox,2/16/1996,John McCarthy,r2,190.5,185.42,NULL,NULL,225,219
FT78,Red ,FALSE,Open Weight,1,Don Frye,61,Orthodox,Thomas Ramirez,68,Sideways,2/16/1996,John McCarthy,r2,185.42,185.42,NULL,NULL,410,219
FT73,Red ,FALSE,Open Weight,1,Gary Goodridge,62,Orthodox,Jerry Bohlander,63,Orthodox,2/16/1996,John McCarthy,r2,180.34,190.5,NULL,NULL,199,249
FT75,Red ,FALSE,Open Weight,1,Gary Goodridge,62,Orthodox,Paul Herrera,65,Orthodox,2/16/1996,John McCarthy,r2,177.8,190.5,NULL,NULL,185,249
FT76,Red ,FALSE,Open Weight,1,Jerry Bohlander,63,Orthodox,Scott Ferrozzo,66,Orthodox,2/16/1996,John McCarthy,r2,180.34,180.34,NULL,NULL,323,199
FT79,Red ,FALSE,Catch Weight,3,Dan Severn,33,Southpaw,Ken Shamrock,4,Orthodox,5/17/1996,John McCarthy,r2,185.42,187.96,182.88,NULL,205,250
FT84,Red ,FALSE,Open Weight,2,Cal Worsham,53,Orthodox,Zane Frazier,9,Orthodox,5/17/1996,John McCarthy,r2,195.58,180.34,NULL,NULL,250,230
FT81,Red ,FALSE,Open Weight,2,Mark Hall,56,Orthodox,Koji Kitao,73,Southpaw,5/17/1996,John McCarthy,r2,200.66,182.88,NULL,NULL,350,190
FT80,Red ,FALSE,Open Weight,2,Don Frye,61,Orthodox,Amaury Bitetti,72,Orthodox,5/17/1996,John McCarthy,r2,175.26,185.42,NULL,NULL,185,219
FT82,Red ,FALSE,Open Weight,2,Mark Schultz,69,Orthodox,Gary Goodridge,62,Orthodox,5/17/1996,John McCarthy,r2,190.5,175.26,NULL,NULL,249,200
FT83,Red ,FALSE,Open Weight,2,Rafael Carino,70,Orthodox,Matt Andersen,74,Southpaw,5/17/1996,John McCarthy,r2,187.96,203.2,NULL,NULL,230,245
FT85,Red ,FALSE,Open Weight,2,Steve Nelmark,71,Orthodox,Tai Bowden,75,NULL,5/17/1996,Joe Hamilton,r5,180.34,182.88,NULL,NULL,230,240
FT88,Red ,FALSE,Open Weight,2,Don Frye,61,Orthodox,Brian Johnston,77,Orthodox,7/12/1996,John McCarthy,r2,190.5,185.42,NULL,NULL,230,219
FT92,Red ,FALSE,Open Weight,2,Don Frye,61,Orthodox,Mark Hall,56,Orthodox,7/12/1996,John McCarthy,r2,182.88,185.42,NULL,NULL,190,219
FT89,Red ,FALSE,Open Weight,2,Gary Goodridge,62,Orthodox,John Campetella,79,Orthodox,7/12/1996,John McCarthy,r2,175.26,190.5,NULL,NULL,235,249
FT86,Red ,TRUE ,Catch Weight,3,Mark Coleman,76,Orthodox,Don Frye,61,Orthodox,7/12/1996,John McCarthy,r2,185.42,185.42,NULL,190.5,219,205
FT87,Red ,FALSE,Open Weight,2,Mark Coleman,76,Orthodox,Gary Goodridge,62,Orthodox,7/12/1996,John McCarthy,r2,190.5,185.42,NULL,190.5,249,205
FT90,Red ,FALSE,Open Weight,2,Mark Coleman,76,Orthodox,Moti Horenstein,80,Orthodox,7/12/1996,John McCarthy,r2,193.04,185.42,NULL,190.5,230,205
FT91,Red ,FALSE,Open Weight,2,Brian Johnston,77,Orthodox,Scott Fiedler,81,Orthodox,7/12/1996,John McCarthy,r2,193.04,190.5,NULL,NULL,235,230
FT93,Red ,FALSE,Open Weight,2,Geza Kalman,78,NULL,Dieusel Berto,82,NULL,7/12/1996,Joe Hamilton,r5,175.26,185.42,NULL,NULL,200,200
FT97,Red ,FALSE,Open Weight,1,David Abbott,50,Switch,Sam Adkins,64,Orthodox,9/20/1996,John McCarthy,r2,190.5,182.88,NULL,NULL,225,265
FT96,Red ,FALSE,Open Weight,1,Jerry Bohlander,63,Orthodox,Fabio Gurgel,83,Orthodox,9/20/1996,John McCarthy,r2,182.88,180.34,NULL,NULL,205,199
