"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","b_fighter","b_fighter_id","b_fighter_stance","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT231","Red ","FALSE","Welterweight",3,"Fabiano Iha",162,"Orthodox","Laverne Clark",147,"Orthodox","2000-09-22","Mario Yamasaki","r7",180.34,172.72,NULL,NULL,170,155,"record231","FT231",0,3,0,3,0,0,1,0,0,1,0,1,3,5,464.3333333,2,0,0,0,2,4,490.5,0,0,0,0,0,0,0,0
"FT233","Red ","FALSE","Heavyweight",3,"Ian Freeman",190,"Orthodox","Tedd Williams",181,"Orthodox","2000-09-22","John McCarthy","r2",185.42,180.34,NULL,NULL,275,225,"record233","FT233",0,1,0,1,0,0,0,0,0,1,0,0,1,1,203,1,0,0,0,1,1,189,0,0,0,0,0,0,0,0
"FT235","Draw","FALSE","Welterweight",2,"Brad Gumm",191,"Orthodox","CJ Fernandes",207,NULL,"2000-09-22","Mario Yamasaki","r7",187.96,180.34,NULL,NULL,170,170,"record235","FT235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,2,600,0,0,0,0,0,0,0,0
"FT232","Red ","FALSE","Middleweight",3,"Yuki Kondo",203,"Southpaw","Alexandre Dantas",206,"Orthodox","2000-09-22","John McCarthy","r2",187.96,180.34,NULL,NULL,238,183,"record232","FT232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT234","Red ","FALSE","Heavyweight",2,"Jeff Monson",204,"Orthodox","Tim Lajcik",169,"Orthodox","2000-09-22","Mario Yamasaki","r7",185.42,175.26,NULL,187.96,225,247,"record234","FT234",2,0,0,0,2,0,0,0,0,0,0,0,0,5,750,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT236","Red ","TRUE ","Heavyweight",5,"Randy Couture",93,"Orthodox","Kevin Randleman",151,"Orthodox","2000-11-17","John McCarthy","r2",177.8,185.42,NULL,190.5,205,205,"record236","FT236",0,2,0,2,1,3,0,0,3,0,0,0,3,15,1290,0,4,0,4,0,6,501.25,2,1,0,0,2,1,0,4
"FT240","Red ","FALSE","Lightweight",3,"Jens Pulver",172,"Southpaw","John Lewis",171,"Southpaw","2000-11-17","Mario Yamasaki","r7",182.88,170.18,NULL,177.8,155,145,"record240","FT240",0,1,0,1,0,0,0,0,0,1,0,0,1,3,613,0,2,0,2,1,7,653.6666667,0,0,0,1,1,0,0,2
"FT237","Red ","FALSE","Heavyweight",3,"Renato Sobral",208,"Orthodox","Maurice Smith",103,"Orthodox","2000-11-17","John McCarthy","r2",187.96,185.42,NULL,190.5,221,205,"record237","FT237",0,2,0,2,2,3,0,1,1,1,1,0,4,13,851.3333333,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT238","Red ","FALSE","Heavyweight",3,"Josh Barnett",209,"Orthodox","Gan McGee",213,"Orthodox","2000-11-17","John McCarthy","r2",208.28,190.5,NULL,198.12,265,250,"record238","FT238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT239","Red ","FALSE","Heavyweight",3,"Andrei Arlovski",210,"Orthodox","Aaron Brink",214,"Orthodox","2000-11-17","John McCarthy","r2",190.5,190.5,NULL,195.58,205,240,"record239","FT239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
